mode,circuit_id,selected_step_index,matrix_size,nnz_A,selected_edge_budget,interface_solve_mode,direct_solve_baseline,gmres_used,gmres_iterations,gmres_info,true_rel_residual,chosen_success,setup_time,solve_time,total_wall_time,peak_rss_kb,status,timeout_hit,P_nnz,P_factor_fill_nnz,failure_stage,failure_reason
semantic_cell_core_sparse,4,2,432,2840,,,False,True,8,0,1.0473076124311863e-10,True,0.008139045909047127,0.0020675528794527054,0.02274743327870965,386756,ok,False,,,,
local_sparse_schur_sparse,4,2,432,2840,4096,spilu,False,True,7,0,5.2177618266254e-11,True,0.05173316225409508,0.033210673835128546,0.09791764477267861,387468,ok,False,53,83,,
interface_basis_constant_r1_sparse,4,2,432,2840,,,False,True,7,0,4.352623695129338e-11,True,0.06725329579785466,0.0359827340580523,0.11575561482459307,388588,ok,False,53,83,,
interface_basis_constant_r2_sparse,4,2,432,2840,,,False,True,7,0,2.7173688888078436e-11,True,0.07360972464084625,0.041025809943675995,0.12777247186750174,388552,ok,False,53,83,,
interface_basis_constant_r4_sparse,4,2,432,2840,,,False,True,7,0,2.0352660097414657e-11,True,0.06722246762365103,0.03671780787408352,0.1163992159999907,388576,ok,False,53,83,,
interface_basis_graph_laplacian_r1_sparse,4,2,432,2840,,,False,True,7,0,4.352623695129338e-11,True,0.06501708505675197,0.03547018999233842,0.11314570903778076,388620,ok,False,53,83,,
interface_basis_graph_laplacian_r2_sparse,4,2,432,2840,,,False,True,7,0,3.148241700117691e-11,True,0.10558872995898128,0.036286847200244665,0.15419870102778077,388652,ok,False,53,83,,
interface_basis_graph_laplacian_r4_sparse,4,2,432,2840,,,False,True,7,0,2.0352472173944203e-11,True,0.0905305459164083,0.04162045009434223,0.15011925995349884,388648,ok,False,53,83,,
interface_basis_snapshot_pod_r1_sparse,4,2,432,2840,,,False,True,7,0,5.218371054267004e-11,True,0.06736915418878198,0.03500485327094793,0.1151226432994008,388640,ok,False,53,83,,
interface_basis_snapshot_pod_r2_sparse,4,2,432,2840,,,False,True,7,0,5.35602980346944e-11,True,0.07577444100752473,0.0421156226657331,0.13203604938462377,388764,ok,False,53,83,,
interface_basis_snapshot_pod_r4_sparse,4,2,432,2840,,,False,True,7,0,6.139050108087605e-11,True,0.06739587429910898,0.034068699926137924,0.11411950271576643,388772,ok,False,53,83,,
