mode,circuit_id,selected_step_index,matrix_size,nnz_A,selected_edge_budget,interface_solve_mode,direct_solve_baseline,gmres_used,gmres_iterations,gmres_info,true_rel_residual,chosen_success,setup_time,solve_time,total_wall_time,peak_rss_kb,status,timeout_hit,P_nnz,P_factor_fill_nnz,failure_stage,failure_reason
semantic_coarse_r2_sparse,19,7,160,1028,,,False,True,11,0,3.0847708086917237e-09,True,0.007257586345076561,0.0023647830821573734,0.014640558045357466,385824,ok,False,,,,
row_sum,21,8,274,1738,,,False,True,50,0,8.840114968776619e-10,True,0.0001874431036412716,0.005741911940276623,0.012746350839734077,385632,ok,False,,,,
semantic_cell_core_sparse,21,8,274,1738,,,False,True,14,0,6.096222612351127e-09,True,0.004572730045765638,0.0028175050392746925,0.014009037986397743,385888,ok,False,,,,
semantic_coarse_r1_sparse,21,8,274,1738,,,False,True,29,0,9.272634545234007e-10,True,0.010548503138124943,0.006597042083740234,0.0240304390899837,386240,ok,False,,,,
semantic_coarse_r2_sparse,21,8,274,1738,,,False,True,29,0,9.272719746616738e-10,True,0.011125469114631414,0.006881687790155411,0.024781472980976105,386336,ok,False,,,,
row_sum,27,9,350,2282,,,False,True,33,0,1.4320664245127146e-09,True,0.000190097838640213,0.0035118432715535164,0.012488977052271366,386016,ok,False,,,,
semantic_cell_core_sparse,27,9,350,2282,,,False,True,6,0,1.3212035650051285e-09,True,0.006064258050173521,0.0015006251633167267,0.01670763036236167,386272,ok,False,,,,
semantic_coarse_r1_sparse,27,9,350,2282,,,False,True,23,0,9.982083504445777e-11,True,0.013546757865697145,0.005240628030151129,0.027638603001832962,386628,ok,False,,,,
semantic_coarse_r2_sparse,27,9,350,2282,,,False,True,23,0,9.982353627869745e-11,True,0.01565556926652789,0.005818856880068779,0.030847435351461172,386960,ok,False,,,,
row_sum,28,10,398,2614,,,False,True,14,0,9.077400891522952e-09,True,0.00015779724344611168,0.0014773816801607609,0.011662529781460762,386260,ok,False,,,,
semantic_cell_core_sparse,28,10,398,2614,,,False,True,6,0,1.2514560334074078e-09,True,0.007466109003871679,0.0017109820619225502,0.019575810059905052,386480,ok,False,,,,
semantic_coarse_r1_sparse,28,10,398,2614,,,False,True,22,0,2.6074474853308135e-10,True,0.015443189069628716,0.005094412714242935,0.031254070810973644,386892,ok,False,,,,
semantic_coarse_r2_sparse,28,10,398,2614,,,False,True,22,0,2.607397128226531e-10,True,0.016475672833621502,0.005722805857658386,0.032628870103508234,387292,ok,False,,,,
row_sum,29,11,296,1936,,,False,True,14,0,7.3384798960849244e-09,True,0.0002223891206085682,0.001730578951537609,0.010148128028959036,385824,ok,False,,,,
semantic_cell_core_sparse,29,11,296,1936,,,False,True,6,0,7.539961905749974e-10,True,0.005199920851737261,0.001421456690877676,0.014165944885462523,385980,ok,False,,,,
semantic_coarse_r1_sparse,29,11,296,1936,,,False,True,21,0,1.0711939975824939e-10,True,0.011479485780000687,0.004525842145085335,0.02348389010876417,386284,ok,False,,,,
semantic_coarse_r2_sparse,29,11,296,1936,,,False,True,21,0,1.0711835372911807e-10,True,0.011394294910132885,0.0048444620333611965,0.023402957245707512,386600,ok,False,,,,
row_sum,30,12,402,2550,,,False,True,53,0,9.324571728031165e-10,True,0.00021575670689344406,0.00642245402559638,0.01733016176149249,386272,ok,False,,,,
semantic_cell_core_sparse,30,12,402,2550,,,False,True,8,0,2.602782781753351e-10,True,0.006071862764656544,0.0016821068711578846,0.017051118426024914,386460,ok,False,,,,
semantic_coarse_r1_sparse,30,12,402,2550,,,False,True,24,0,4.7495424558422725e-09,True,0.014914654195308685,0.0064519490115344524,0.03108135610818863,386804,ok,False,,,,
semantic_coarse_r2_sparse,30,12,402,2550,,,False,True,24,0,4.749643923067021e-09,True,0.016250289045274258,0.006964433938264847,0.03328424273058772,387212,ok,False,,,,
row_sum,35,13,427,2747,,,False,True,38,0,4.385586059995465e-10,True,0.0001864810474216938,0.004466561134904623,0.015028548892587423,386232,ok,False,,,,
semantic_cell_core_sparse,35,13,427,2747,,,False,True,8,0,2.445253437658019e-10,True,0.007135184947401285,0.0018440131098031998,0.01947482069954276,386512,ok,False,,,,
semantic_coarse_r1_sparse,35,13,427,2747,,,False,True,39,0,5.457085257933574e-10,True,0.01599055016413331,0.009522931184619665,0.03593083703890443,386972,ok,False,,,,
semantic_coarse_r2_sparse,35,13,427,2747,,,False,True,39,0,5.456361836531027e-10,True,0.01787763275206089,0.010496965143829584,0.03894001292064786,387460,ok,False,,,,
row_sum,37,14,98,594,,,False,True,27,0,1.7321670169509471e-09,True,0.00017050141468644142,0.0026945341378450394,0.005760125815868378,384988,ok,False,,,,
semantic_cell_core_sparse,37,14,98,594,,,False,True,8,0,1.7517381701172314e-10,True,0.002267459873110056,0.001514542382210493,0.00687201926484704,385328,ok,False,,,,
semantic_coarse_r1_sparse,37,14,98,594,,,False,True,13,0,1.556566122006896e-09,True,0.0045829592272639275,0.0025187633000314236,0.010223019868135452,385588,ok,False,,,,
semantic_coarse_r2_sparse,37,14,98,594,,,False,True,13,0,1.5565661065726152e-09,True,0.004763339180499315,0.002569488249719143,0.010441672056913376,385556,ok,False,,,,
row_sum,38,15,129,813,,,False,True,16,0,3.6450671903374427e-09,True,0.00017475895583629608,0.001961503177881241,0.005771948024630547,385120,ok,False,,,,
semantic_cell_core_sparse,38,15,129,813,,,False,True,8,0,1.192557986660861e-10,True,0.002632186748087406,0.0015359120443463326,0.007821878883987665,385384,ok,False,,,,
semantic_coarse_r1_sparse,38,15,129,813,,,False,True,14,0,7.513584621929627e-10,True,0.006449433974921703,0.0028180768713355064,0.01302050705999136,385632,ok,False,,,,
semantic_coarse_r2_sparse,38,15,129,813,,,False,True,14,0,7.513584653593143e-10,True,0.005556853022426367,0.0028863348998129368,0.012045441195368767,385652,ok,False,,,,
row_sum,39,16,322,2070,,,False,True,33,0,4.808876424479104e-09,True,0.00019361497834324837,0.004003909416496754,0.01197954686358571,385764,ok,False,,,,
semantic_cell_core_sparse,39,16,322,2070,,,False,True,10,0,4.4958474635153935e-10,True,0.005342008080333471,0.002044860739260912,0.015163242351263762,386000,ok,False,,,,
semantic_coarse_r1_sparse,39,16,322,2070,,,False,True,28,0,6.989039297856431e-09,True,0.011423550080507994,0.006582112982869148,0.0253957100212574,386404,ok,False,,,,
semantic_coarse_r2_sparse,39,16,322,2070,,,False,True,28,0,6.989040396369094e-09,True,0.013180939015001059,0.007261482998728752,0.028502157889306545,386768,ok,False,,,,
row_sum,41,17,435,2847,,,False,True,32,0,7.710176747185844e-11,True,0.00018544914200901985,0.0034638429060578346,0.015034199226647615,386388,ok,False,,,,
semantic_cell_core_sparse,41,17,435,2847,,,False,True,8,0,1.4172482344950902e-10,True,0.0075317020528018475,0.0018358356319367886,0.02087204111739993,386640,ok,False,,,,
semantic_coarse_r1_sparse,41,17,435,2847,,,False,True,22,0,5.186830254747757e-09,True,0.016045423224568367,0.005250968039035797,0.03269696794450283,387172,ok,False,,,,
semantic_coarse_r2_sparse,41,17,435,2847,,,False,True,22,0,5.186856170353043e-09,True,0.01919701788574457,0.006138377822935581,0.038289197254925966,387564,ok,False,,,,
row_sum,44,18,92,572,,,False,True,14,0,1.2210787708900476e-09,True,0.00018174294382333755,0.0016112239100039005,0.004788185935467482,384992,ok,False,,,,
semantic_cell_core_sparse,44,18,92,572,,,False,True,8,0,1.0005877802002774e-10,True,0.0022394671104848385,0.0015306719578802586,0.006778073031455278,385308,ok,False,,,,
semantic_coarse_r1_sparse,44,18,92,572,,,False,True,9,0,2.554658172532109e-10,True,0.004628975875675678,0.0017500449903309345,0.009412602987140417,385528,ok,False,,,,
semantic_coarse_r2_sparse,44,18,92,572,,,False,True,9,0,2.554658159369365e-10,True,0.004596575163304806,0.0017977859824895859,0.009372138418257236,385556,ok,False,,,,
row_sum,49,19,401,2617,,,False,True,34,0,2.2641407245124538e-09,True,0.00020498596131801605,0.0036069508641958237,0.014341333881020546,386208,ok,False,,,,
semantic_cell_core_sparse,49,19,401,2617,,,False,True,7,0,2.249140684705703e-09,True,0.00652195094153285,0.0015850048512220383,0.018428391311317682,386512,ok,False,,,,
semantic_coarse_r1_sparse,49,19,401,2617,,,False,True,24,0,7.948790555023021e-10,True,0.015108197927474976,0.005556303076446056,0.031045247800648212,386860,ok,False,,,,
semantic_coarse_r2_sparse,49,19,401,2617,,,False,True,24,0,7.948809027163131e-10,True,0.01697020512074232,0.006317014805972576,0.03405175870284438,387288,ok,False,,,,
